team,player,pos,status,injury,description,date
Arizona Cardinals,Zay Jones,WR,Out,Achilles,Jones is out with achilles,Nov 11
Arizona Cardinals,James Conner,RB,Out,Foot,Conner is out with foot,Sep 23
Arizona Cardinals,Greg Dortch,WR,Out,Chest,Dortch is out with chest,Dec 5
Arizona Cardinals,Kyler Murray,QB,Out,Foot,Murray is out with foot,Oct 31
Arizona Cardinals,Andre Baccellia,WR,Out,Neck,Baccellia is out with neck,Dec 16
Arizona Cardinals,Bam Knight,RB,Out,Ankle,Knight is out with ankle,Dec 16
Arizona Cardinals,Trey Benson,RB,Out,Knee,Benson is out with knee,Dec 5
Arizona Cardinals,Tip Reiman,TE,Out,Ankle,Reiman is out with ankle,Oct 7
Atlanta Falcons,KhaDarel Hodge,WR,Out,Shoulder,Hodge is out with shoulder,Dec 23
Atlanta Falcons,Michael Penix,QB,Out,Knee,Penix is out with knee,Nov 18
Baltimore Ravens,Lamar Jackson,QB,Out,Back,Jackson is out with back,Dec 26
Baltimore Ravens,Justice Hill,RB,Out,Neck,Hill is out with neck,Nov 29
Buffalo Bills,Curtis Samuel,WR,Out,Elbow,Samuel is out with elbow,Nov 19
Buffalo Bills,Dawson Knox,TE,Questionable,Knee,Knox is questionable with knee,Dec 26
Buffalo Bills,Mecole Hardman,WR,Out,Calf,Hardman is out with calf,Nov 19
Buffalo Bills,Tyler Bass,K,Out,Did Not Participate In Practice,Bass is out with hip,Sep 5
Buffalo Bills,Dalton Kincaid,TE,Questionable,Knee,Kincaid is questionable with knee,Dec 26
Carolina Panthers,David Moore,WR,Out,Elbow,Moore is out with elbow,Oct 2
Carolina Panthers,Damarri Mathis,CB,Out,Did Not Participate In Practice,Mathis is out with knee,Sep 5
Chicago Bears,Rome Odunze,WR,Out,Foot,Odunze is out with foot,Dec 14
Cincinnati Bengals,Noah Fant,TE,Questionable,Ankle,Fant is questionable with ankle,Dec 26
Cleveland Browns,DeAndre Carter,WR,Out,Knee,Carter is out with knee,Sep 30
Cleveland Browns,David Njoku,TE,Out,Knee,Njoku is out with knee,Dec 19
Cleveland Browns,Maurice Hurst,DT,Out,Ankle,Hurst is out with ankle,Dec 8
Cleveland Browns,Jerome Ford,RB,Out,Shoulder,Ford is out with shoulder,Dec 9
Cleveland Browns,Brenden Bates,TE,Out,Ankle,Bates is out with ankle,Nov 29
Cleveland Browns,Quinshon Judkins,RB,Out,Ankle,Judkins is out with ankle,Dec 23
Cleveland Browns,Harold Fannin,TE,Questionable,Groin,Fannin is questionable with groin,Dec 26
Cleveland Browns,Dylan Sampson,RB,Questionable,Calf,Sampson is questionable with calf,Dec 23
Dallas Cowboys,Miles Sanders,RB,Out,Ankle,Sanders is out with ankle,Oct 5
Dallas Cowboys,Ryan Flournoy,WR,Out,Knee,Flournoy is out with knee,Dec 25
Denver Broncos,J.K. Dobbins,RB,Out,Foot,Dobbins is out with foot,Nov 12
Denver Broncos,Nate Adkins,TE,Out,Knee,Adkins is out with knee,Dec 24
Denver Broncos,Pat Bryant,WR,Out,Concussion,Bryant is out with concussion,Dec 23
Detroit Lions,Jamarco Jones,T,Out,Did Not Participate In Practice,Jones is out with ankle,Sep 5
Detroit Lions,Brock Wright,TE,Out,Neck,Wright is out with neck,Dec 3
Detroit Lions,Sam LaPorta,TE,Out,Back,LaPorta is out with back,Nov 14
Green Bay Packers,Jordan Love,QB,Out,Concussion,Love is out with concussion,Dec 23
Green Bay Packers,Micah Parsons,DE,Out,Knee,Parsons is out with knee,Dec 16
Green Bay Packers,Christian Watson,WR,Questionable,Shoulder,Watson is questionable with shoulder,Dec 26
Green Bay Packers,John FitzPatrick,TE,Out,Achilles,FitzPatrick is out with achilles,Dec 23
Green Bay Packers,Tucker Kraft,TE,Out,Knee,Kraft is out with knee,Nov 4
Green Bay Packers,MarShawn Lloyd,RB,Out,Hamstring,Lloyd is out with hamstring,Sep 2
Houston Texans,Joe Mixon,RB,Out,Knee,Mixon is out with knee,Sep 2
Houston Texans,Tank Dell,WR,Out,Knee,Dell is out with knee,Sep 2
Indianapolis Colts,Daniel Jones,QB,Out,Achilles,Jones is out with achilles,Dec 9
Indianapolis Colts,Drew Ogletree,TE,Out,Neck,Ogletree is out with neck,Dec 27
Indianapolis Colts,Anthony Gould,WR,Out,Foot,Gould is out with foot,Dec 27
Jacksonville Jaguars,Travis Hunter,WR,Out,Knee,Hunter is out with knee,Oct 31
Jacksonville Jaguars,Bhayshul Tuten,RB,Out,Finger,Tuten is out with finger,Dec 27
Kansas City Chiefs,Patrick Mahomes,QB,Out,Knee,Mahomes is out with knee,Dec 16
Kansas City Chiefs,Gardner Minshew,QB,Out,Knee,Minshew is out with knee,Dec 23
Kansas City Chiefs,Tyquan Thornton,WR,Out,Concussion,Thornton is out with concussion,Dec 23
Kansas City Chiefs,Rashee Rice,WR,Out,Concussion,Rice is out with concussion,Dec 23
Las Vegas Raiders,Raheem Mostert,RB,Questionable,Ankle,Mostert is questionable with ankle,Dec 26
Las Vegas Raiders,Brock Bowers,TE,Out,Knee,Bowers is out with knee,Dec 24
Las Vegas Raiders,Jack Bech,WR,Questionable,Back,Bech is questionable with back,Dec 26
Los Angeles Chargers,Najee Harris,RB,Out,Achilles,Harris is out with achilles,Sep 23
Los Angeles Chargers,Derius Davis,WR,Out,Ankle,Davis is out with ankle,Dec 12
Los Angeles Chargers,Kimani Vidal,RB,Out,Neck,Vidal is out with neck,Dec 27
Los Angeles Rams,Davante Adams,WR,Out,Hamstring,Adams is out with hamstring,Dec 17
Los Angeles Rams,Tyler Higbee,TE,Out,Ankle,Higbee is out with ankle,Nov 19
Miami Dolphins,Tyreek Hill,WR,Out,Knee,Hill is out with knee,Sep 30
Minnesota Vikings,T.J. Hockenson,TE,Out,Shoulder,Hockenson is out with shoulder,Dec 24
Minnesota Vikings,Rondale Moore,WR,Out,Knee,Moore is out with knee,Sep 2
Minnesota Vikings,Jordan Mason,RB,Out,Ankle,Mason is out with ankle,Dec 23
Minnesota Vikings,J.J. McCarthy,QB,Out,Hand,McCarthy is out with hand,Dec 23
New England Patriots,Mack Hollins,WR,Out,Abdomen,Hollins is out with abdomen,Dec 26
New England Patriots,Antonio Gibson,RB,Out,Knee,Gibson is out with knee,Oct 7
New England Patriots,Kayshon Boutte,WR,Out,Concussion,Boutte is out with concussion,Dec 23
New England Patriots,DeMario Douglas,WR,Questionable,Hamstring,Douglas is questionable with hamstring,Dec 26
New England Patriots,Charles Woods,CB,Questionable,Full Participation In Practice,Woods is questionable with concussion,Sep 5
New England Patriots,Terrell Jennings,RB,Out,Concussion,Jennings is out with concussion,Dec 12
New England Patriots,TreVeyon Henderson,RB,Questionable,Concussion,Henderson is questionable with concussion,Dec 26
New Orleans Saints,Alvin Kamara,RB,Out,Knee,Kamara is out with knee,Nov 25
New Orleans Saints,Foster Moreau,TE,Out,Ankle,Moreau is out with ankle,Dec 23
New Orleans Saints,Chris Olave,WR,Questionable,Back,Olave is questionable with back,Dec 26
New Orleans Saints,Kendre Miller,RB,Out,Knee,Miller is out with knee,Oct 21
New Orleans Saints,Devaughn Vele,WR,Out,Shoulder,Vele is out with shoulder,Dec 17
New Orleans Saints,Mason Tipton,WR,Questionable,Groin,Tipton is questionable with groin,Dec 26
New Orleans Saints,Devin Neal,RB,Out,Hamstring,Neal is out with hamstring,Dec 17
New York Giants,Malik Nabers,WR,Out,Knee,Nabers is out with knee,Sep 30
New York Giants,Theo Johnson,TE,Out,Illness,Johnson is out with illness,Dec 27
New York Giants,Cam Skattebo,RB,Out,Ankle,Skattebo is out with ankle,Oct 28
New York Jets,Tyrod Taylor,QB,Out,Groin,Taylor is out with groin,Dec 9
New York Jets,Josh Reynolds,WR,Out,Hip,Reynolds is out with hip,Oct 25
New York Jets,Alijah Vera-Tucker,G,Out,Did Not Participate In Practice,Vera-Tucker is out with triceps,Sep 5
New York Jets,Garrett Wilson,WR,Out,Knee,Wilson is out with knee,Nov 11
New York Jets,Braelon Allen,RB,Out,Knee,Allen is out with knee,Sep 30
New York Jets,Mason Taylor,TE,Out,Neck,Taylor is out with neck,Dec 17
Pittsburgh Steelers,DK Metcalf,WR,Out,Suspension,Metcalf is out with suspension,Dec 23
Pittsburgh Steelers,Calvin Austin,WR,Out,Hamstring,Austin is out with hamstring,Dec 23
San Francisco 49ers,George Kittle,TE,Questionable,Ankle,Kittle is questionable with ankle,Dec 23
San Francisco 49ers,Brandon Aiyuk,WR,Out,Knee,Aiyuk is out with knee,Sep 2
San Francisco 49ers,Ricky Pearsall,WR,Questionable,Ankle,Pearsall is questionable with ankle,Dec 26
San Francisco 49ers,Jacob Cowing,WR,Out,Hamstring,Cowing is out with hamstring,Sep 2
Seattle Seahawks,Dareke Young,WR,Out,Quad,Young is out with quad,Nov 7
Seattle Seahawks,George Holani,RB,Out,Hamstring,Holani is out with hamstring,Nov 25
Seattle Seahawks,Elijah Arroyo,TE,Out,Knee,Arroyo is out with knee,Dec 9
Seattle Seahawks,Tory Horton,WR,Out,Groin,Horton is out with groin,Nov 21
Tampa Bay Buccaneers,Ko Kieft,TE,Out,Leg,Kieft is out with leg,Sep 23
Tampa Bay Buccaneers,Benjamin Morrison,CB,Out,Limited Participation In Practice,Morrison is out with quad,Sep 5
Tennessee Titans,Calvin Ridley,WR,Out,Leg,Ridley is out with leg,Nov 18
Tennessee Titans,Bryce Oliver,WR,Out,Knee,Oliver is out with knee,Nov 14
Washington Commanders,Marcus Mariota,QB,Out,Hand,Mariota is out with hand,Dec 23
Washington Commanders,Zach Ertz,TE,Out,Knee,Ertz is out with knee,Dec 9
Washington Commanders,Noah Brown,WR,Out,Ribs,Brown is out with ribs,Dec 16
Washington Commanders,Austin Ekeler,RB,Out,Achilles,Ekeler is out with achilles,Sep 16
Washington Commanders,Chris Rodriguez,RB,Out,Illness,Rodriguez is out with illness,Dec 25
Washington Commanders,Jayden Daniels,QB,Out,Elbow,Daniels is out with elbow,Dec 10
Washington Commanders,Luke McCaffrey,WR,Out,Collarbone,McCaffrey is out with collarbone,Nov 4
Washington Commanders,Jaylin Lane,WR,Out,Ankle,Lane is out with ankle,Dec 23
