game_time,away,home,matchup,away_qb,home_qb,injuries,weather,spread,total,fetched
WED8:20 PM ET,NE,SEA,NE @ SEA,Drake Maye,Sam Darnold,None,No weather info available,SEA-3.5,44.5,2026-08-21 00:57:09
THU8:35 PM ET,SF,LAR,SF @ LAR,Brock Purdy,M. Stafford,"C. McCaffrey (RB)-Q, Mike Evans (WR)-Q, C. Kirk (WR)-Q, Puka Nacua (WR)-Q","Dome
In Domed Stadium",-,–,2026-08-21 00:57:09
SUN1:00 PM ET,CHI,CAR,CHI @ CAR,C. Williams,Bryce Young,"L. Burden (WR)-Q, C. Hubbard (RB)-Q",No weather info available,CHI-2.5,47.5,2026-08-21 00:57:09
SUN1:00 PM ET,TB,CIN,TB @ CIN,B. Mayfield,Joe Burrow,"Emeka Egbuka (WR)-Q, J. McMillan (WR)-Q, Cade Otton (TE)-Q",No weather info available,CIN-3.5,51.5,2026-08-21 00:57:10
SUN1:00 PM ET,NO,DET,NO @ DET,Tyler Shough,Jared Goff,"Jordyn Tyson (WR)-D, Sam LaPorta (TE)-Q","Dome
In Domed Stadium",DET-7,49.5,2026-08-21 00:57:10
SUN1:00 PM ET,BUF,HOU,BUF @ HOU,Josh Allen,C.J. Stroud,"K. Shakir (WR)-Q, Keon Coleman (WR)-Q, J. Higgins (WR)-D","Dome
In Domed Stadium",BUF-1.5,44.5,2026-08-21 00:57:10
SUN1:00 PM ET,BAL,IND,BAL @ IND,L. Jackson,Daniel Jones,Tyler Warren (TE)-Q,"Dome
In Domed Stadium",BAL-3.5,48.0,2026-08-21 00:57:11
SUN1:00 PM ET,CLE,JAX,CLE @ JAX,D. Watson,T. Lawrence,"Q. Judkins (RB)-Q, P. Washington (WR)-Q",No weather info available,JAX-7.5,40.5,2026-08-21 00:57:11
SUN1:00 PM ET,ATL,PIT,ATL @ PIT,T. Tagovailoa,A. Rodgers,"DK Metcalf (WR)-Q, M. Pittman (WR)-Q",No weather info available,PIT-3,42.5,2026-08-21 00:57:11
SUN1:00 PM ET,NYJ,TEN,NYJ @ TEN,Geno Smith,Cam Ward,"Breece Hall (RB)-Q, Kenyon Sadiq (TE)-Q, Carnell Tate (WR)-Q",No weather info available,TEN-2.5,39.5,2026-08-21 00:57:12
SUN4:25 PM ET,MIA,LV,MIA @ LV,Malik Willis,Kirk Cousins,None,"Dome
In Domed Stadium",LV -3.5,40.5,2026-08-21 00:57:12
SUN4:25 PM ET,ARI,LAC,ARI @ LAC,J. Brissett,J. Herbert,"J. Love (RB)-Q, Q. Johnston (WR)-Q","Dome
In Domed Stadium",LAC-10.5,46.5,2026-08-21 00:57:12
SUN4:25 PM ET,GB,MIN,GB @ MIN,Jordan Love,Kyler Murray,"Josh Jacobs (RB)-Q, Tucker Kraft (TE)-Q","Dome
In Domed Stadium",MIN-1.5,45.0,2026-08-21 00:57:13
SUN4:25 PM ET,WAS,PHI,WAS @ PHI,J. Daniels,Jalen Hurts,"D. Smith (WR)-Q, Makai Lemon (WR)-Q",No weather info available,PHI-4.5,46.5,2026-08-21 00:57:13
SUN8:20 PM ET,DAL,NYG,DAL @ NYG,Dak Prescott,Jaxson Dart,Malik Nabers (WR)-Q,No weather info available,DAL-2.5,48.5,2026-08-21 00:57:13
MON8:15 PM ET,DEN,KC,DEN @ KC,Bo Nix,P. Mahomes,"P. Mahomes (QB)-Q, X. Worthy (WR)-Q",No weather info available,KC -2.5,42.5,2026-08-21 00:57:13
